address,reason
4M4ypzyZA7Sp2weYEMfnWuJ6wBVpNaMgaGTanmTspump,
FtUEW73K6vEYHfbkfpdBZfWpxgQar2HipGdbutEhpump,
FasH397CeZLNYWkd3wWK9vrmjd1z93n3b59DssRXpump,
DitHyRMQiSDhn5cnKMJV2CDDt6sVct96YrECiM49pump,
6pKHwNCpzgZuC9o5FzvCZkYSUGfQddhUYtMyDbEVpump,
C3DwDjT17gDvvCYC2nsdGHxDHVmQRdhKfpAdqQ29pump,
HNg5PYJmtqcmzXrv6S9zP1CDKk5BgDuyFBxbvNApump,
BQQzEvYT4knThhkSPBvSKBLg1LEczisWLhx5ydJipump,
4TBi66vi32S7J8X1A6eWfaLHYmUXu7CStcEmsJQdpump,
Grass7B4RdKfBCjTKgSqnXkqjwiGvQyFbuSCUJr3XXjs,
0x661Af369690a8f5591CC0df7D581C83d1A6e4444,
0xdAf1695c41327b61B9b9965Ac6A5843A3198cf07,
0xe6cF62bf8bc5BDb05BE4dd9C57f8899Df3741226,
0xB7C0007ab75350c582d5eAb1862b872B5cF53F0C,
0xC9882dEF23bc42D53895b8361D0b1EDC7570Bc6A,
0x208bF3E7dA9639f1Eaefa2DE78c23396B0682025,
0x59264f02D301281f3393e1385c0aEFd446Eb0F00,
0x3d4f0513E8a29669B960f9dBcA61861548A9A760,
7LSsEoJGhLeZzGvDofTdNg7M3JttxQqGWNLo6vWMpump,
5LJMJyR8MtAkbtpf8kFUV7S9oFG3xaGDdcnFxYt9pump,
8BtoThi2ZoXnF7QQK1Wjmh2JuBw9FjVvhnGMVZ2vpump,
D4dfSb86qUb949MCsAJmGzbyXo7YhgaMNj7c9F49pump,
0xf20f8a3c135dC048C36cb1c94E1f00CEEEa3Dd61,
EiKZAWphC65hFKz9kygWgKGcRZUGgdMmH2zSPtbGpump,
B91Nyc6SnWqr5DRR34eEMKuZrWh4zBhW9VhX4UNLpump,
DH4MqNmSR7rSY1zLiEaszx8cyDPCNgTWWTm4w8TMpump,
0xcdC80a63d24Bb2B3C7dE48EF4A69a00000000000,
12You7a9CKuEH6QMdjqX2Wuvxo8bkGjK4YEDngmiGsub,
5CxtvaR1SskwLxfzHGurx8Enu8bgSTPyWF3YP4sWpump,
0x934e2003D24D27CD28A3cC7c8B6765e522F567d9,
0xd55C9fB62E176a8Eb6968f32958FeFDD0962727E,
CEK3J5DavCqqn3bV1smLZz7LxJR5eaRN5KxCxDZBq7SG,
CmXr8rZyqxbFKv44kk1u8ixQM9mZnUf625k56p27pump,
4StuLHHsHobhBh4BCNhreFtQ5EvSZHvbAMxJ44JWpump,
43SXvpf4c41t2uErsw7aL6w5qhnie6BXSSPqiTcTpump,
5HV956n7UQT1XdJzv43fHPocest5YAmi9ipsuiJx7zt7,
0x56c7675fAB25228A49c666A374A3c7BB94434444,
So11111111111111111111111111111111111111112,
EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,
6p6xgHyF7AeE6TZkSmFsko444wqoP15icUSqi2jfGiPN,
Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB,
3NZ9JMVBmGAqocybic2c7LQCJScmgsAZ6vQqTDzcqmJh,
7vfCXTUXx5WJV5JADk17DUJ4ksgau7utNKj4b963voxs,
USDSwr9ApdHk5bvJKMjzff41FfuX8bSxdKcR81vTwcA,
0x55d398326f99059fF775485246999027B3197955,
0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,
0x8d0D000Ee44948FC98c9B98A4FA4921476f08B0d,
0x7130d2A12B9BCbFAe4f2634d864A1Ee1Ce3Ead9c,
0x2170Ed0880ac9A755fd29B2688956BD959F933F8,
0x8AC76a51cc950d9822D68b83fE1Ad97B32Cd580d,
0x570A5D26f7765Ecb712C0924E4De545B89fD43dF,
9BB6NFEcjBCtnNLFko2FqVQBq8HHM13kCyYcdQbgpump,发币太早
0xc91c8b588194961163fceeb182382373deff1658,貔貅垃圾
0x1e6d4f506e359f77ef0d81facd1b84cb351be3e7,貔貅
0x2a21ead5f6c94852867442337992f0e5fc0d4d1d,top10%=50%
8gYjQWk4DxNjYLh7GxtQQooEaeLe99FmD3FbVgvTpump,波动性异常捆绑盘
cbbtcf3aa214zXHbiAZQwf4122FBYbraNdFqgw4iMij,垃圾
0x194b302a4b0a79795fb68e2adf1b8c9ec5ff8d1f,39day+top10>90%
27G8MtK7VtTcCHkpASjSDdkWWYfoqT6ggEuKidVJidD4,400+day
4k3Dyjzvzp8eMZWUXbBCjEvwSkkk59S5iCNLY3QrkX6R,500+day
FUAfBo2jgks6gB4Z4LfZkqSZgzNucisEHqnNebaRxM1P,80day+
J1toso1uCk3RLmjorhTtrVwY9HJ7X8V9yYac6Y7kGCPn,500+day
HzwqbKZw8HxMN6bF2yFZNrht3c2iXXzpKcFu7uBEDKtr,400+day
JUPyiwrYJFskUPiHa7hkeR8VUtAeFoSYbKedZNsDvCN,400+day
Dso1bDeDjCQxTrWHqUUi63oBvV7Mdm6WaobLbQ7gnPQ,300+day
jupSoLaHXQiZZTSfEWMTRRgpnyFm8f6sZdosWBjx93v,400+day
mSoLzYCxHdYgdzU16g5QSh3i5K3z3KZK7ytfqcJm7So,500+day
25hAyBQfoDhfWx9ay6rarbgvWGwDdNqcHsXS3jQ3mTDJ,400+day
7GCihgDB8fe6KNjn2MYtkzZcRjQy3t9GHdC8uHYmW2hr,400+day
DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,500+day
BNso1VUJnh4zcfpZa6986Ea66P6TCp59hvtNJ8b1X85,200+day
6vMqkJTiXhcRqPcpvToff8r3sYrfghRcMCNZoJAujHhU,400+day
HeLp6NuQkmYB4pYWo2zYs22mESHXPQYzXbB8n4V98jwC,150+day
A8C3xuqscfmyLrte3VmTqrAq8kgMASius9AFNANwpump,250+day
61V8vBaqAGMpgDQi4JcAwo1dmBGHsyhzodcPqnEVpump,100+day
orcaEKTdK7LKz57vaAYr9QeNsVEPfiu6QeMU1kektZE,400+day
zBTCug3er3tLyffELcvDNrKkCymbPWysGcWihESYfLg,btc强相关
0x0e09fabb73bd3ade0a17ecc321fd13a19e81ce82,100day+
0xe9e7cea3dedca5984780bafc599bd69add087d56,稳定币
0xdc84096074269d8f304d476124101249d105b60d,100day+
0x0385684e709e5e83df604fe3d6f0734d0c12e994,貔貅
0x2b697577e5c9c7479225644fcfa936994b4ad359,奇怪
0x1d2f0da169ceb9fc7b3144628db156f3f6c60dbe,100day+
0x9285f007728c00cf01396e7d3d69023f968d4165,pixiu
0x3595afff15a7ccaeeeb787fd676f7a297319c24c,100day+
0x701add4311e85c1f9c1549319fe2c476bc8a1b8b,k线不正常+top10>85%
0x6e88056e8376ae7709496ba64d37fa2f8015ce3e,100day+
0xf6718b2701d4a6498ef77d7c152b2137ab28b8a3,scam
sSo1wxKKr6zW2hqf5hZrp2CawLibcwi1pMBqk5bg2G4,scam
GJAFwWjJ3vnTsrQVabjBVK2TYB1YtRCQXRDfDgUnpump,100day+
Hg8bKz4mvs8KNj9zew1cEF9tDw1x2GViB4RFZjVEmfrD,top10》75
0x3cfed764cfed47926afd792a388823514135137f,50day+
